,UniqueCarrier,Month,ArrDelay
0,9E,1,16.514619883040936
1,9E,2,7.993589743589744
2,9E,3,15.302857142857142
3,9E,4,4.017142857142857
4,9E,5,1.6859504132231404
5,9E,6,-1.459915611814346
6,9E,7,-5.929752066115703
7,9E,8,-5.566929133858268
8,9E,9,-4.17175572519084
9,9E,10,-2.0588235294117645
10,9E,11,2.3586497890295357
11,9E,12,14.106995884773662
12,AA,1,8.659726353361094
13,AA,2,9.891558441558441
14,AA,3,13.44733581164808
15,AA,4,8.562659846547314
16,AA,5,12.047619047619047
17,AA,6,16.844086021505376
18,AA,7,9.76736111111111
19,AA,8,10.155503785672686
20,AA,9,1.6044728434504791
21,AA,10,0.35878336436995656
22,AA,11,-1.9520876112251881
23,AA,12,6.253937007874016
24,B6,1,1.5546218487394958
25,B6,2,14.785388127853881
26,B6,3,10.241935483870968
27,B6,4,8.84873949579832
28,B6,5,2.536082474226804
29,B6,6,14.87659574468085
30,B6,7,17.62054507337526
31,B6,8,20.205020920502093
32,B6,9,-2.3274725274725276
33,B6,10,-4.664516129032258
34,B6,11,-2.361522198731501
35,B6,12,19.235416666666666
36,CO,1,10.37763157894737
37,CO,2,10.494475138121548
38,CO,3,16.64698331193838
39,CO,4,6.600515463917525
40,CO,5,6.938461538461539
41,CO,6,13.91025641025641
42,CO,7,6.773913043478261
43,CO,8,11.533672172808132
44,CO,9,-3.2177650429799427
45,CO,10,3.516297262059974
46,CO,11,4.237099023709902
47,CO,12,16.910958904109588
48,DL,1,9.894117647058824
49,DL,2,13.772277227722773
50,DL,3,29.617391304347827
51,DL,4,17.785714285714285
52,DL,5,-0.7410714285714286
53,DL,6,10.783783783783784
54,DL,7,24.800711743772244
55,DL,8,13.868131868131869
56,DL,9,2.7151162790697674
57,DL,10,11.400943396226415
58,DL,11,11.304
59,DL,12,16.32116788321168
60,EV,1,7.671875
61,EV,2,5.0828402366863905
62,EV,3,14.341269841269842
63,EV,4,20.096774193548388
64,EV,5,-2.3333333333333335
65,EV,6,0.625
66,EV,7,29.6
67,EV,8,13.06060606060606
68,EV,9,5.333333333333333
69,EV,11,91.5
70,EV,12,25.647058823529413
71,F9,1,1.6779661016949152
72,F9,2,3.7048192771084336
73,F9,3,9.521505376344086
74,F9,4,3.0113636363636362
75,F9,5,2.712707182320442
76,F9,6,7.65
77,F9,7,2.1837837837837837
78,F9,8,4.736559139784946
79,F9,9,-5.677777777777778
80,F9,10,-2.3833333333333333
81,F9,11,0.8475609756097561
82,F9,12,14.053571428571429
83,MQ,1,-0.04377880184331797
84,MQ,2,1.21
85,MQ,3,12.75689223057644
86,MQ,4,9.216470588235294
87,MQ,5,9.309002433090024
88,MQ,6,9.291666666666666
89,MQ,7,-7.857142857142857
90,NW,1,-0.9130434782608695
91,NW,4,16.144444444444446
92,NW,5,11.0
93,OH,1,9.072992700729927
94,OH,2,11.978798586572438
95,OH,3,19.425465838509318
96,OH,4,17.00477326968974
97,OH,5,13.36591478696742
98,OH,6,16.861660079051383
99,OH,7,18.86842105263158
100,OH,8,15.955752212389381
101,OH,9,9.726256983240223
102,OH,10,-0.1945945945945946
103,OH,11,24.919354838709676
104,OH,12,40.81481481481482
105,OO,1,17.71556886227545
106,OO,2,10.956896551724139
107,OO,3,14.270731707317074
108,OO,4,0.6822157434402333
109,OO,5,5.715068493150685
110,OO,6,6.469387755102041
111,OO,7,4.529268292682927
112,OO,8,4.60806916426513
113,OO,9,6.368263473053892
114,OO,10,1.4971098265895955
115,OO,11,-0.9172413793103448
116,OO,12,22.305785123966942
117,UA,1,13.914772727272727
118,UA,2,3.411764705882353
119,UA,3,5.211956521739131
120,UA,4,17.77777777777778
121,UA,5,11.884146341463415
122,UA,6,19.798850574712645
123,UA,7,9.5
124,UA,8,11.958579881656805
125,UA,9,2.71900826446281
126,UA,10,-0.22580645161290322
127,UA,11,-3.2410714285714284
128,UA,12,3.675438596491228
129,US,1,-2.3764044943820224
130,US,2,-2.139393939393939
131,US,3,-3.1031746031746033
132,US,4,-0.38333333333333336
133,US,5,-1.0241935483870968
134,US,6,1.1260504201680672
135,US,7,-2.6097560975609757
136,US,8,4.758333333333334
137,US,9,-2.1363636363636362
138,US,10,-2.7758620689655173
139,US,11,3.6153846153846154
140,US,12,5.828947368421052
141,WN,1,3.448915325402379
142,WN,2,7.963396226415094
143,WN,3,10.136986301369863
144,WN,4,4.2167955024595924
145,WN,5,5.829260013577732
146,WN,6,8.119561493662212
147,WN,7,3.96750418760469
148,WN,8,2.8778080326752895
149,WN,9,-0.9606158252774795
150,WN,10,0.2265230562100303
151,WN,11,0.8935137010058967
152,WN,12,13.250917584250917
153,XE,1,3.0208623087621698
154,XE,2,2.3076923076923075
155,XE,3,7.833112582781457
156,XE,4,4.278884462151394
157,XE,5,4.151873767258382
158,XE,6,8.159680638722556
159,XE,7,6.901162790697675
160,XE,8,9.811004784688995
161,XE,9,5.777777777777778
162,XE,12,-1.3548387096774193
163,YV,1,11.544117647058824
164,YV,2,17.63921568627451
165,YV,3,3.3772151898734175
166,YV,4,9.84341637010676
167,YV,5,12.460674157303371
168,YV,6,24.404426559356136
169,YV,7,15.053448275862069
170,YV,8,11.427586206896551
171,YV,9,2.6014319809069213
172,YV,10,8.095571095571096
173,YV,11,0.208955223880597
174,YV,12,11.946009389671362
