,CS_PropertyID,cluster,size,empl_gr,Rent,leasing_rate,stories,age,renovated,class_a,class_b,LEED,Energystar,green_rating,net,amenities,cd_total_07,hd_total07,total_dd_07,Precipitation,Gas_Costs,Electricity_Costs,cluster_rent,hd_total07_quantiles,cd_total_07_quantiles,total_dd_07_quantiles,Rent_cooling,Rent_heating,Rent_total,class
0,379105,1,260300,2.22,38.56,91.39,14,16,0,1,0,0,1,1,0,1,4988,58,5046,42.57,0.0137,0.028999999999999998,36.78,<1000,4000-5000,5000-6000,23.406250000000004,27.394571428571435,28.284842105263156,A
1,379067,199,183999,2.22,18.0,97.87,7,20,1,1,0,0,1,1,0,1,4988,58,5046,42.57,0.0137,0.028999999999999998,17.25,<1000,4000-5000,5000-6000,23.406250000000004,27.394571428571435,28.284842105263156,A
2,378510,218,115310,2.22,19.0,100.0,4,4,0,1,0,0,1,1,0,0,4988,58,5046,42.57,0.0137,0.028999999999999998,17.75,<1000,4000-5000,5000-6000,23.406250000000004,27.394571428571435,28.284842105263156,A
3,379382,491,1153545,2.22,37.52,98.58,55,23,0,1,0,0,1,1,0,1,4988,58,5046,42.57,0.0137,0.028999999999999998,28.05,<1000,4000-5000,5000-6000,23.406250000000004,27.394571428571435,28.284842105263156,A
4,379520,531,677667,2.22,45.1,96.63,32,21,0,1,0,0,1,1,0,1,4988,58,5046,42.57,0.0137,0.028999999999999998,35.755,<1000,4000-5000,5000-6000,23.406250000000004,27.394571428571435,28.284842105263156,A
5,378536,947,60584,2.22,16.5,100.0,3,9,0,1,0,0,1,1,0,1,4988,58,5046,42.57,0.0137,0.028999999999999998,17.91,<1000,4000-5000,5000-6000,23.406250000000004,27.394571428571435,28.284842105263156,A
6,378551,955,90970,2.22,18.61,58.24,4,10,0,1,0,0,1,1,1,1,4988,58,5046,42.57,0.0137,0.028999999999999998,18.61,<1000,4000-5000,5000-6000,23.406250000000004,27.394571428571435,28.284842105263156,A
7,378542,959,93738,2.22,21.3,93.7,4,8,0,1,0,0,1,1,0,0,4988,58,5046,42.57,0.0137,0.028999999999999998,19.0,<1000,4000-5000,5000-6000,23.406250000000004,27.394571428571435,28.284842105263156,A
8,381788,1007,235000,2.22,19.43,88.69,18,20,1,1,0,0,1,1,1,1,4988,58,5046,42.57,0.0137,0.028999999999999998,23.985,<1000,4000-5000,5000-6000,23.406250000000004,27.394571428571435,28.284842105263156,A
9,378962,1012,225500,2.22,22.0,90.56,21,16,0,1,0,0,1,1,0,1,4988,58,5046,42.57,0.0137,0.028999999999999998,21.23,<1000,4000-5000,5000-6000,23.406250000000004,27.394571428571435,28.284842105263156,A
